Year,Month,Delhi,Hyderabad,Mumbai,Bangalore,Kolkata,Chennai,Pune,Kanpur,Surat,Ahmedabad
2014,1,,0.11143693088739548,0.25089282739478136,0.10954013073890226,,,0.14409518550937778,,0.11926338550290919,0.1286388452569545
2014,2,0.1827938717623664,0.18734529913007242,0.298119611928646,0.1169893077966461,0.11298873969015805,0.24215861679346104,0.1813884866876961,0.1287642947546571,0.1141794816767665,0.10947695419160301
2014,3,,0.12992933828669795,0.31755505143041457,0.11521250572329622,0.1576364325642542,0.26842622259945764,0.14365069567821684,0.15475282220204206,,0.12295618889709602
2014,4,0.1237024715540313,0.12889103082400766,0.3567860200964638,0.15209935097346303,0.14895096295452867,0.25369171626647186,0.1418517830297656,,0.12951252452681103,0.10126764872645531
2014,5,0.1176992161076396,0.12583603105015717,0.3776837167139289,0.15322863385978044,4.27032349826461,,,0.13893039149282033,0.2246225897387895,0.08655719806657754
2014,6,0.13139863705512686,,,,0.7135288838263185,0.2803527273223463,0.31479847795833393,,,
2014,7,,0.637107159450679,,,,,,,1.2509544173882574,
2014,8,0.39537380601663863,,,,,,,0.13284580758461528,,
2014,9,0.0847608426936214,,,,0.29811583995154606,0.4879829959649438,0.3187011310024907,0.16488437544432347,,0.16082872709690407
2014,10,0.0898835005331111,0.161188804620057,0.2759381344489884,,0.1288156467669409,,,0.10864015554675631,0.13315066332079384,0.12454094845767012
2014,11,0.1215607192494493,,0.26426170328614657,0.12806976879218818,0.12393579650263156,,,0.100144567962725,0.10496916002918405,0.0871687872618385
2014,12,0.12115651640869483,0.12034458334270033,0.25381117398259273,,0.11783915965847082,0.1407766468827089,0.32148077612311365,0.10158528013276533,0.10901843031994807,0.11212445622602124
2015,1,0.07904204401385041,0.1277517348167554,,0.14788383588888898,,0.18043222076733678,0.18000908084996745,,,0.12786089214090857
2015,2,0.12986025736067333,0.12482483347797982,0.2814641439287588,0.1637233681487418,0.1369670780963739,0.19325605887229372,0.15786220985418647,0.15172292528374876,0.13808907000511575,0.13869051758409143
2015,3,0.0899159620311855,0.13998277624693528,,0.16527252374142007,0.13834545999733022,0.19889327602682128,0.1336150656650329,0.12326329679231554,0.16198507865395081,0.12012212069066024
2015,4,0.10312439168479508,0.09966823392162197,0.30564280642833,0.10355515902609176,,,0.13977919341146258,0.08391289630872834,0.14548205675009207,0.12058527914594241
2015,5,0.09145422882121956,0.1149310266219042,0.29281101964622624,0.18899447236406866,,,0.13399027953140116,0.08891309790151486,0.14326304963575626,0.09957972260250092
2015,6,0.12851451558391247,,0.31609095108956026,,,0.3567827691378692,,0.3174437170568196,,
2015,7,,,,,,,,,,
2015,8,,,,0.310708466631093,,,,0.2645692199228676,0.17242596356975917,
2015,9,0.0948292436848644,,,,,,,0.11744836340889152,0.26741072698934215,0.19747461028708982
2015,10,0.08938962644780889,0.11991432198796925,0.2856228705715247,,0.14641585658160625,,0.1588653648916894,0.12335243973723849,0.21865105120703168,0.11307862924413048
2015,11,0.10457018235070582,0.11836674871269832,0.27696692944094187,,0.14849618164258924,,0.130497222754388,0.10415544268138315,0.11669602587284206,0.09615922087189657
2015,12,,0.12820688950190962,,,0.10197143881726209,,0.11536113412295203,,0.13830566016492857,0.10493325415011046
2016,1,,,0.2784230785253204,0.11919950927367001,0.111495852404503,0.2093463231820175,0.14524227577083973,,0.11310241981421434,0.10974225032746739
2016,2,,0.11951669199252332,0.2769659421092563,,,0.22109456471289257,0.18581231737707876,0.16834510291799967,0.1399622005007062,0.1592195970306012
2016,3,0.32923955710431224,,0.2957436683912111,,,,0.15013501662977613,0.15139811889513402,0.16548885538480415,0.11391687207424411
2016,4,,0.14289025785850967,0.31662484715670397,0.11740714391428568,0.13021939082818182,0.3257724419208943,0.16344465761229138,0.08544930215954234,0.15998240213154138,0.11694150416504527
2016,5,0.1655357188193412,0.14510040307691255,0.39500799670680053,0.10671128752119521,0.14226514836613355,0.5480210465655138,0.38670709815502236,0.0803208730173273,0.17845987507414232,0.09817892912339221
2016,6,0.11618465207159862,,,,,,,,,0.2882436341750465
2016,7,,,,,,0.4046246961915215,,,,
2016,8,,,,1.1181726974806119,,,,0.13177626533559303,,
2016,9,0.1538811200217596,,,,,,,0.19220143358529526,,0.17041671951604884
2016,10,0.08956445854704471,0.2085021787828778,0.26738943511639945,,0.14872859643248712,0.19378071343262732,0.1514536179952962,0.111442420456805,0.21948242885848915,0.14040175402171087
2016,11,0.09237112596707697,0.10730470719635801,0.29427470886015206,,0.11914583653599065,,0.14547911225644705,0.09771020029282572,0.11149851309620035,0.08458848396545054
2016,12,0.10960609237664545,,0.27328459737120664,,0.18987587698308023,0.48356489394562574,0.14612342229999584,,0.10237696819048517,0.09289979011648852
2017,1,0.11510441772413034,0.12870134745454176,0.26994664539053087,0.17007058630044514,0.12600343238617234,,0.16129370625138562,,0.11565737450765255,0.11466390797935394
2017,2,,0.12669421173826503,0.31069256643769133,,0.14227869890396658,,0.14746059825778357,0.13695299141813708,0.11084639737625211,0.13133214219633596
2017,3,0.10796264280164498,0.15002838966216214,0.3132368516079395,0.1879627160577286,0.17892804160239828,0.35074385254672164,0.14650683701420114,0.15978588829451237,0.1449871572879869,0.11551399883677865
2017,4,0.09236353883224868,0.11830442501375092,0.2784938099665871,0.11540094055245212,0.14074817477572693,0.2620914813325916,0.2200766816982079,0.10664011882255103,0.18792847815009134,0.12017792831630378
2017,5,0.0927941812835012,0.13039323418817814,0.28446690303505384,0.14380779581905676,0.1649660415293359,,0.1348641392011602,0.08541593355164165,0.18028379515459517,0.12130052185622932
