Year,Month,City,UHI_Ratio,NDVI_Urban,NDBI_Urban,Albedo_Urban,NDVI_Rural,NDBI_Rural,Albedo_Rural
2000,1,Delhi,,,,,,,
2000,1,Hyderabad,0.14094548136256088,0.21613297842315624,0.1281028037572529,0.1743715873475134,0.25290690022921963,0.05068262824574936,0.15040040671575255
2000,1,Mumbai,,,,,,,
2000,1,Bangalore,,,,,,,
2000,1,Kolkata,,,,,,,
2000,1,Chennai,0.20314869713585482,0.31619054508170646,0.05593287582560324,0.14915562288606765,0.2199294217424404,-0.20893211714185256,0.09734392130747561
2000,1,Pune,,,,,,,
2000,1,Kanpur,,,,,,,
2000,1,Surat,0.1534607320654948,0.24704188737090224,0.06245266764906234,0.13254681485587835,0.3200044280212528,-0.08930280191334347,0.11216524286135954
2000,1,Ahmedabad,0.21228763805253445,0.20667632729727028,0.12465643957738677,0.18386675114198425,0.3443288084543038,-0.016789023900250343,0.16200707997265895
2000,2,Delhi,-1.181586811768035,0.2348269870774296,0.020750896417075514,0.13939118186553598,0.0,0.0,-0.20177165354316462
2000,2,Hyderabad,,,,,,,
2000,2,Mumbai,0.31485868820570717,0.17945125429582315,0.06392497141209666,0.12073819099766624,-0.011182305263757469,-0.29860664622892147,0.07909313512179052
2000,2,Bangalore,,,,,,,
2000,2,Kolkata,0.14128851924240093,-0.036486747008534735,-0.03611142151187176,0.4738921847521285,-0.34472459319928694,-0.060777317024702515,0.9567239304127687
2000,2,Chennai,,,,,,,
2000,2,Pune,0.212558721550602,0.1922793298802888,0.08527517087400334,0.1527672501353354,0.3031710137783942,-0.011206473524215634,0.12592198352276557
2000,2,Kanpur,,,,,,,
2000,2,Surat,-1.2271809430429235,0.07921958426617336,-0.348949907715616,0.09041428129626829,0.0,0.0,-0.20177165354303336
2000,2,Ahmedabad,0.18130979580170015,0.21613880240695693,0.10059028947159727,0.1712318814644314,0.3486810326317883,-0.04481090737354009,0.14844877995414957
2000,3,Delhi,0.15454157059713775,0.19083719425617468,0.0842408913791755,0.1637924585358035,0.2638428928336528,-0.030694988483999326,0.14065941190719425
2000,3,Hyderabad,,,,,,,
2000,3,Mumbai,,,,,,,
2000,3,Bangalore,0.14640133004307415,0.26599547869603923,0.15965041807430597,0.1794413081853592,0.3542099657642472,0.020713194881206733,0.15698232138630194
2000,3,Kolkata,,,,,,,
2000,3,Chennai,,,,,,,
2000,3,Pune,,,,,,,
2000,3,Kanpur,,,,,,,
2000,3,Surat,,,,,,,
2000,3,Ahmedabad,0.1793098286999504,0.1858215430655699,0.12558375471657834,0.18936067109665064,0.2455608282428429,0.03827456685731451,0.17206900425569957
2000,4,Delhi,-1.328752833058289,0.24722169131300253,0.03093360899163869,0.15541960446359215,0.0,0.0,-0.2017716535431339
2000,4,Hyderabad,,,,,,,
2000,4,Mumbai,0.30346610998757384,0.17739641616878146,0.06383028129964334,0.1315189833999412,0.01739700176973238,-0.11569955909805416,0.08416742915232084
2000,4,Bangalore,,,,,,,
2000,4,Kolkata,,,,,,,
2000,4,Chennai,,,,,,,
2000,4,Pune,,,,,,,
2000,4,Kanpur,0.10877371786846031,0.16558353986023025,0.0818168598692171,0.20249712067694461,0.2171257924946969,0.029379180925668328,0.1823315261539183
2000,4,Surat,0.16450853957072104,0.1784994185232215,0.08373009340538332,0.14471378004621466,0.29192408491825184,-0.06364792059305743,0.12647644204800362
2000,4,Ahmedabad,0.29035267721196617,0.164751254399588,0.15492752041100147,0.172541935471141,0.22637264069621413,0.048520059911299984,0.1910612764219087
2000,5,Delhi,0.14341468696712123,0.14119119829060067,0.0984094981290571,0.18380906053002805,0.1970713359050305,0.0008332353244773372,0.17568530283070538
2000,5,Hyderabad,0.12001356769045707,0.18587653970429077,0.12466975366610934,0.19941838346299454,0.25299604859106056,0.051305953348168246,0.1914123719013131
2000,5,Mumbai,,,,,,,
2000,5,Bangalore,0.15477462072482065,0.2648633484441243,0.1151250490279438,0.18004525728371396,0.3590031406630457,0.021117906342622273,0.16683200184558825
2000,5,Kolkata,,,,,,,
2000,5,Chennai,0.26510437232328815,0.28171965208704847,0.07346504129614846,0.16771582974426927,0.21565597298408637,-0.08423631991108954,0.11616257046031371
2000,5,Pune,0.1885669914657088,0.1617919799213988,0.08417462897144488,0.15249191685417998,0.24280013418597612,-0.005189639086812119,0.14758579841992908
2000,5,Kanpur,,,,,,,
2000,5,Surat,,,,,,,
2000,5,Ahmedabad,0.1997764064748217,0.20785552911887384,0.08257488252677103,0.200634709845941,0.2553724304179709,0.0004444455856250308,0.19357876344112165
2000,6,Delhi,0.1700383533794634,0.12860764335481165,0.07017583810683711,0.20092306670584134,0.2007193273680288,-0.025938125600706297,0.18169832036782252
2000,6,Hyderabad,,,,,,,
2000,6,Mumbai,,,,,,,
2000,6,Bangalore,,,,,,,
2000,6,Kolkata,,,,,,,
2000,6,Chennai,,,,,,,
2000,6,Pune,,,,,,,
2000,6,Kanpur,0.08239227433400349,0.15308144767536772,0.09656912757637484,0.23751066340605814,0.22079701297694365,0.03196899385995703,0.20908397265475717
2000,6,Surat,,,,,,,
2000,6,Ahmedabad,,,,,,,
2000,7,Delhi,,,,,,,
2000,7,Hyderabad,,,,,,,
2000,7,Mumbai,,,,,,,
2000,7,Bangalore,-1.2816664840171936,0.24971403329605812,0.06382701967115864,0.24351402311463788,0.0,0.0,-0.2017716535427272
2000,7,Kolkata,,,,,,,
2000,7,Chennai,,,,,,,
2000,7,Pune,,,,,,,
2000,7,Kanpur,,,,,,,
2000,7,Surat,,,,,,,
2000,7,Ahmedabad,,,,,,,
2000,8,Delhi,-1.961900856727298,0.3701607322814931,-0.12173890534695342,0.17920387405996546,0.24526295706984974,-0.18261775950508094,0.2815878348101893
2000,8,Hyderabad,,,,,,,
2000,8,Mumbai,,,,,,,
2000,8,Bangalore,,,,,,,
2000,8,Kolkata,,,,,,,
2000,8,Chennai,,,,,,,
2000,8,Pune,,,,,,,
2000,8,Kanpur,0.1771594113703223,0.34102042073291794,-0.042756757711595136,0.18737989844948014,0.3643538014368251,-0.16107947120508945,0.21950920486525988
2000,8,Surat,,,,,,,
2000,8,Ahmedabad,,,,,,,
2000,9,Delhi,,,,,,,
2000,9,Hyderabad,,,,,,,
2000,9,Mumbai,,,,,,,
2000,9,Bangalore,,,,,,,
2000,9,Kolkata,,,,,,,
2000,9,Chennai,0.28688527114174345,0.37999398978107324,-0.044586387405201974,0.17218466294554102,0.29694301363507924,-0.1377140788040713,0.13025655618156565
2000,9,Pune,0.18820510835758253,0.3855571373936189,-0.052982198226874326,0.14449779499193854,0.5619496976519087,-0.18786010020074245,0.1477791989684869
2000,9,Kanpur,,,,,,,
2000,9,Surat,,,,,,,
2000,9,Ahmedabad,0.1517856188495298,0.2852752411908888,0.0006465166832103139,0.1883055604043833,0.44341252489531197,-0.12108144181201118,0.183975214969282
2000,10,Delhi,0.10575449613828408,0.23275213721983518,0.04212256348653443,0.1826602503908932,0.29277027700486447,-0.049674668933878445,0.15474500422410173
2000,10,Hyderabad,0.3270245137154242,0.41893907990450036,-0.03692854058198101,0.1697469910532943,0.36074959869082934,-0.10391243704785304,0.20670427500054242
2000,10,Mumbai,,,,,,,
2000,10,Bangalore,,,,,,,
2000,10,Kolkata,,,,,,,
2000,10,Chennai,0.1995763791973006,0.39750796386770376,-0.02190676596515527,0.15457141173251823,0.34410763566244185,-0.2175916811469289,0.10707467811398369
2000,10,Pune,0.14508121021301987,0.4132866198072421,-0.08066293433913259,0.1340320490395587,0.5660037784328676,-0.20043560730779117,0.13554232539508837
2000,10,Kanpur,,,,,,,
2000,10,Surat,0.16466345321643167,0.28601382744525145,0.026677946631898198,0.13121711145648535,0.46258684264316374,-0.17744588062901548,0.12302162834905418
2000,10,Ahmedabad,0.287089448224016,0.19089475811023943,0.11453246929266248,0.18571793578524853,0.3446097328210863,-0.012193548605947152,0.166581176296233
2000,11,Delhi,0.13358293131727322,0.20084051216557314,0.07115475342990704,0.16940205390287327,0.2674310205016599,-0.019896043134168154,0.1332160902064267
2000,11,Hyderabad,,,,,,,
2000,11,Mumbai,0.2955608742214521,0.27335742149687714,0.030027966137553236,0.11290185053445553,-0.002678029951037966,-0.376319321612873,0.06696965066096328
2000,11,Bangalore,0.13237169027067772,0.38595397524789693,0.057130599052359905,0.16330069642279235,0.48968833617156693,-0.09681198209231753,0.14149977747618503
2000,11,Kolkata,0.14097034810862968,0.27401926676361443,0.025953883896637647,0.09851046379018905,0.436415546957328,-0.20345601225170015,0.10373904260680844
2000,11,Chennai,,,,,,,
2000,11,Pune,,,,,,,
2000,11,Kanpur,0.13300809872984393,0.21093754487921088,0.08275412636542429,0.18609148381446033,0.2875764517892881,-0.01404852113806013,0.15553548598010375
2000,11,Surat,0.14386443895692774,0.2201351509222293,0.05341634395998898,0.13479006478887007,0.30366291550256835,-0.09353683396361417,0.12242415467401217
2000,11,Ahmedabad,0.1147608668792957,0.23348518795355586,0.07824217346011306,0.17529234067338043,0.2888012234215327,0.005996926988039693,0.15657930164529613
2000,12,Delhi,0.1623299782332313,0.18288364531127024,0.07096113807871887,0.16950218118789223,0.19868414701324663,-0.02754498021629921,0.137330580897375
2000,12,Hyderabad,0.14665275485765372,0.22726774268687205,0.12216108155686425,0.17501968725895203,0.25869076747451336,0.026794579193328383,0.15020664087703445
2000,12,Mumbai,,,,,,,
2000,12,Bangalore,,,,,,,
2000,12,Kolkata,,,,,,,
2000,12,Chennai,,,,,,,
2000,12,Pune,0.17263885424156816,0.22643256890174526,0.06721774878944403,0.1491471571905014,0.3429250579765759,-0.04081710960869644,0.12686369772094203
2000,12,Kanpur,0.13585794659933312,0.17794544438965101,0.0873291672275025,0.17501666387311537,0.23995434536393231,-0.028711154496013653,0.15059676549600906
2000,12,Surat,,,,,,,
2000,12,Ahmedabad,,,,,,,
2001,1,Delhi,0.1925722863436577,0.19365025104184064,0.09828605124398203,0.1512511587335374,0.27090381598519375,-0.009160930082369602,0.12751059153381405
2001,1,Hyderabad,,,,,,,
2001,1,Mumbai,0.2954547117842004,0.23237973340283227,0.04211360425698804,0.11420745908683204,0.015165489477671492,-0.38933535030058847,0.07569703045015962
2001,1,Bangalore,0.13259510848524486,0.292004126109708,0.16080081202787447,0.1607930970646005,0.38911139481912105,-0.005505335855763758,0.13810330809646354
2001,1,Kolkata,0.1301646581025343,0.12277840768725083,0.001779052753731851,0.11798356983426486,0.2251264401810301,-0.15177453820444686,0.120242341056344
2001,1,Chennai,,,,,,,
2001,1,Pune,0.16549279139354545,0.179086180683089,0.12047203462978183,0.14131871313534272,0.2801583106940947,0.0056953852555654706,0.12326673641627113
2001,1,Kanpur,,,,,,,
2001,1,Surat,0.16271904745050153,0.2189758810464085,0.06393540322167718,0.1270149097813372,0.2995265367563898,-0.08447487407797324,0.11523492258548677
2001,1,Ahmedabad,,,,,,,
2001,2,Delhi,-1.180569998379296,0.2342567615731766,0.027060686980681745,0.13613820566477253,0.0,0.0,-0.20177165354312124
2001,2,Hyderabad,,,,,,,
2001,2,Mumbai,,,,,,,
2001,2,Bangalore,-1.3310527394769571,0.2873760629678366,0.10405853193338736,0.18638987363265846,0.0,0.0,-0.20177165354272492
2001,2,Kolkata,,,,,,,
2001,2,Chennai,,,,,,,
2001,2,Pune,,,,,,,
2001,2,Kanpur,,,,,,,
2001,2,Surat,0.19764316183079483,0.19594689608069674,0.06605530904326976,0.13016887815267048,0.2742796329084253,-0.09396978264425505,0.11787721494195476
2001,2,Ahmedabad,0.17030164224842054,0.2128100637116659,0.07811502365082344,0.18386893474438412,0.35839712556669445,-0.07299826630788152,0.16346941686167699
2001,3,Delhi,-1.2538525501992979,0.2637526677306508,0.024183365532585484,0.14029792085720239,0.0,0.0,-0.20177165354311286
2001,3,Hyderabad,0.14915397311913473,0.18734012383494666,0.147323657171684,0.18304441515450418,0.25576080283440894,0.05038641491312288,0.16364226718656008
2001,3,Mumbai,,,,,,,
2001,3,Bangalore,0.13118007849349186,0.2325284086872005,0.17025621064853513,0.1795118483620237,0.3334733326391008,0.028766604309300267,0.15526125126448057
2001,3,Kolkata,,,,,,,
2001,3,Chennai,0.22679269054896947,0.2426478871229538,0.13852338118118063,0.15869216101599484,0.1926221726972593,-0.08793800027236673,0.10915311586665313
2001,3,Pune,0.16842119737562425,0.13946784889070732,0.1212924178532571,0.1455332822441848,0.24580540698856868,0.020118947126800884,0.13808607313237334
2001,3,Kanpur,0.2423014410717907,0.21302571204524087,0.06500353415525198,0.17715379975940612,0.4851220868009372,-0.18859294054781298,0.16027735996338616
2001,3,Surat,,,,,,,
